max_depth,min_samples_split,min_samples_leaf,mean_cv_train_f1_weighted,mean_cv_test_f1_weighted,std_cv_test_f1_weighted,rank
6,2,1,0.47351300106583105,0.34534687478776604,0.04336750049481224,70
6,20,1,0.4584299818403162,0.344256806806956,0.04553897509401409,71
6,20,2,0.4601575820794218,0.34419284895910396,0.048171467590195624,72
6,2,2,0.4721395612743285,0.343979372776957,0.04978939923461215,73
6,10,1,0.46418122091427205,0.3439270538343542,0.04310790670706292,74
6,5,2,0.4706911585669792,0.34371325652298806,0.05048372911476938,75
6,20,5,0.4583775951264039,0.34187828706567014,0.04406598612908833,76
6,5,5,0.46324625936833874,0.340116450663458,0.050431127082874144,77
6,2,5,0.46324625936833874,0.340116450663458,0.050431127082874144,77
6,10,5,0.46324625936833874,0.340116450663458,0.050431127082874144,77
6,10,2,0.4646382199196701,0.3394187719103786,0.051654997248507736,80
4,20,10,0.37051490536293824,0.30162617949799825,0.06194757139402617,81
4,10,10,0.37051490536293824,0.30162617949799825,0.06194757139402617,81
4,5,10,0.37051490536293824,0.30162617949799825,0.06194757139402617,81
4,2,10,0.37051490536293824,0.30162617949799825,0.06194757139402617,81
4,20,1,0.36326478597569867,0.30005298505390543,0.06726876536108764,85
4,10,1,0.3642541104093816,0.30005298505390543,0.06726876536108764,85
4,5,1,0.3642541104093816,0.30005298505390543,0.06726876536108764,85
4,2,1,0.3642541104093816,0.30005298505390543,0.06726876536108764,85
4,2,2,0.3642037100282789,0.299692935167878,0.06712299803904703,89
4,5,2,0.3642037100282789,0.299692935167878,0.06712299803904703,89
4,10,2,0.3642037100282789,0.299692935167878,0.06712299803904703,89
4,20,2,0.36321442143437416,0.299692935167878,0.06712299803904703,89
4,2,5,0.3640089978556187,0.29818640824059056,0.06533916651261608,93
4,5,5,0.3640089978556187,0.29818640824059056,0.06533916651261608,93
4,10,5,0.3640089978556187,0.29818640824059056,0.06533916651261608,93
4,20,5,0.3640089978556187,0.29818640824059056,0.06533916651261608,93
3,20,10,0.32476101096882243,0.29596463955620417,0.07007216913652474,97
3,10,10,0.32476101096882243,0.29596463955620417,0.07007216913652474,97
3,5,10,0.32476101096882243,0.29596463955620417,0.07007216913652474,97
3,2,10,0.32476101096882243,0.29596463955620417,0.07007216913652474,97
3,20,1,0.3232360934007612,0.29400291570858367,0.0723519219194085,101
3,10,1,0.3232360934007612,0.29400291570858367,0.0723519219194085,101
3,5,1,0.3232360934007612,0.29400291570858367,0.0723519219194085,101
3,2,1,0.3232360934007612,0.29400291570858367,0.0723519219194085,101
3,2,2,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
3,5,2,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
3,10,2,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
3,20,2,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
3,2,5,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
3,5,5,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
3,10,5,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
3,20,5,0.32315317890259165,0.29400291570858367,0.0723519219194085,101
